hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
NGTS-11	Gaia DR2 2453680078509741056	1	<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>	1.1	0.8	-0.8	0.0	2020-07-02	2020-07-09;;
NGTS-12	Gaia DR2 3464620139089832960	1	<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>	0.5			1.0	2020-10-16	2020-10-22;;
NGTS-13	Gaia DR2 5385076140853434752	1	<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>	6.2	1.2	-1.2	0.0	2021-02-08	2021-02-11;;
NGTS-14 A	Gaia DR2 6585082036193768832	1	<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>	1.2	0.5	-0.5	0.0	2021-02-25	2021-03-04;;
NGTS-15	Gaia DR2 4873830691665395584	1	<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>	2.0			1.0	2021-04-23	2021-04-23;;
NGTS-16	Gaia DR2 4886825544715697792	1	<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>	2.5	0.8	-0.8	0.0	2021-04-23	2021-04-23;;
NGTS-17	Gaia DR2 4873225513593736960	1	<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>	4.1	1.0	-1.0	0.0	2021-04-23	2021-04-23;;
NGTS-18	Gaia DR2 3462511310147530752	1	<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>	0.5			1.0	2021-04-23	2021-04-23;;
NGTS-2	Gaia DR2 6220602384081327104	1	<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>	15.2	0.8	-0.8	0.0	2018-10-05	2018-10-04;;
NGTS-20	Gaia DR2 5078704372599743104	1	<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>	8.0	0.8	-0.8	0.0	2022-07-12	2022-07-12;;
NGTS-3 A	Gaia DR2 2885350546895266432	1	<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>	1.0	0.7	-0.7	0.0	2018-06-06	2018-05-31;
NGTS-4	Gaia DR2 2891248292906892032	1	<a refstr=WEST_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.5094W/abstract target=ref>West et al. 2019</a>	2.75	0.58	-0.58	0.0	2019-05-14	2019-05-16;;
NGTS-5	Gaia DR2 1159042833731813760	1	<a refstr=EIGM_UUML_LLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A.142E/abstract target=ref>Eigm&uuml;ller et al. 2019</a>					2019-05-14	2019-05-16;
NGTS-6	Gaia DR2 4875693023844840448	1	<a refstr=VINES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.4125V/abstract target=ref>Vines et al. 2019</a>	2.851	0.431	-0.431	0.0	2019-09-20	2019-09-26;;
NGTS-8	Gaia DR2 6840435777723109888	1	<a refstr=COSTES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2834C/abstract target=ref>Costes et al. 2020</a>	3.56	0.67	-0.67	0.0	2019-11-18	2019-11-21;;
NGTS-9	Gaia DR2 5678340222972504832	1	<a refstr=COSTES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2834C/abstract target=ref>Costes et al. 2020</a>	6.38	1.05	-1.05	0.0	2019-11-18	2019-11-21;;
OGLE-TR-10	Gaia DR2 4056443366649948160	1	<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>					2014-05-14	2014-05-14;;
OGLE-TR-111	Gaia DR2 5242089296564780416	1	<a refstr=ADAMS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1003.0457A/abstract target=ref> Adams et al. 2010 </a>					2016-02-24	2016-02-25;;
OGLE-TR-113	Gaia DR2 5242077854771196544	1	<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>					2014-05-14	2014-05-14;;
OGLE-TR-132	Gaia DR2 5241964708164136192	1	<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>					2014-10-29	2014-10-29;;
OGLE-TR-182	Gaia DR2 5337294049909975680	1	<a refstr=PONT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...487..749P/abstract target=ref> Pont et al. 2008 </a>					2014-05-14	2014-05-14;;
OGLE-TR-211	Gaia DR2 5253607539857229568	1	<a refstr=UDALSKI_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482..299U/abstract target=ref> Udalski et al. 2008 </a>					2014-05-14	2014-05-14;;
OGLE-TR-56	Gaia DR2 4056326681029056896	1	<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>					2022-03-16	2022-03-16;;
OGLE2-TR-L9	Gaia DR2 5337273743301313536	1	<a refstr=SNELLEN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...497..545S/abstract target=ref> Snellen et al. 2009 </a>	39.33	0.38		0.0	2014-05-14	2014-05-14;;
PH1	Gaia DR2 2073478823183937536	1	<a refstr=SCHWAMB_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..127S/abstract target=ref> Schwamb et al. 2013 </a>	32.6	2.0	-2.0	0.0	2014-05-14	2014-05-14;;
PH2	Gaia DR2 2139300262131379584	1	<a refstr=WANG_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...776...10W/abstract target=ref> Wang et al. 2013 </a>	1.43	0.78	-0.78	0.0	2014-05-14	2014-05-14;;
POTS-1	Gaia DR2 5851616143098057472	1	<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>	5.3			1.0	2014-05-14	2014-05-14;;
Pr0201	Gaia DR2 661424074527577600	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
Pr0211	Gaia DR2 661222279785743616	1	<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>	5.1	0.3	-0.3	0.0	2016-02-10	2016-02-11;;
Pr0211	Gaia DR2 661222279785743616	1	<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>	5.1	0.3	-0.3	0.0	2016-02-10	2016-02-11;;
Proxima Cen	Gaia DR2 5853498713160606720	1	<a refstr=FARIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.115F/abstract target=ref>Faria et al. 2022</a>					2023-01-23	2023-01-23;;
Qatar-1	Gaia DR2 2244830490514284928	1	<a refstr=COLLINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...78C/abstract target=ref>Collins et al. 2017</a>	1.76	0.21	-0.21	0.0	2016-09-14	2016-09-15;;
Qatar-10	Gaia DR2 2262322556576778752	1	<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>	5.9	0.5	-0.5	0.0	2019-04-30	2019-05-02;;
Qatar-2	Gaia DR2 3620030644476623616	1	<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>	3.28	0.04	-0.04	0.0	2014-11-05	2014-11-05;;
Qatar-3	Gaia DR2 2878641361300809856	1	<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>	10.2	0.5	-0.5	0.0	2017-04-24	2017-04-27;;
Qatar-4	Gaia DR2 385697172809355392	1	<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>	7.1	0.5	-0.5	0.0	2017-04-24	2017-04-27;;
Qatar-5	Gaia DR2 382111248777193216	1	<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>	4.5	0.5	-0.5	0.0	2017-04-24	2017-04-27;;
Qatar-6	Gaia DR2 1265513389372846848	1	<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>	2.9	0.5	-0.5	0.0	2019-11-18	2019-11-21;;
Qatar-7	Gaia DR2 2878923523472328704	1	<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...74A/abstract target=ref>Alsubai et al. 2019</a>	13.8	0.5	-0.5	0.0	2020-05-01	2020-05-07;;
Qatar-8	Gaia DR2 1076515002779544960	1	<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>	2.7	0.5	-0.5	0.0	2019-04-30	2019-05-02;;
Qatar-9	Gaia DR2 1048109222955337600	1	<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>	4.3	0.5	-0.5	0.0	2019-04-30	2019-05-02;;
Ross 128	Gaia DR2 3796072592206250624	1	<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>					2017-11-16	2017-11-17;;
Ross 508	Gaia DR2 1208695640675619584	1	<a refstr=HARAKAWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220511986H/abstract target=ref>Harakawa et al. 2022</a>					2022-06-08	2022-06-08;;
TAP 26	Gaia DR2 47316005432912256	1	<a refstr=YU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1342Y/abstract target=ref>Yu et al. 2017</a>	68.2	0.5	-0.5	0.0	2017-01-31	2017-02-02;;
TIC 172900988 Aa	Gaia DR2 709709093301608448	1	<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>					2021-09-08	2021-09-08;;
TIC 237913194	Gaia DR2 4715813347286590080	1	<a refstr=SCHLECKER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..275S/abstract target=ref>Schlecker et al. 2020</a>	2.18	0.41	-0.41	0.0	2020-12-10	2020-12-17;;
TIC 257060897	Gaia DR2 1697129530714536320	1	<a refstr=MONTALTO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2908M/abstract target=ref>Montalto et al. 2022</a>					2021-10-04	2021-10-04;;
TOI-1062	Gaia DR2 4632865331094140928	1	<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>	2.13	0.5	-0.5	0.0	2021-08-03	2021-08-03;;
TOI-1062	Gaia DR2 4632865331094140928	1	<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>	2.13	0.5	-0.5	0.0	2021-08-03	2021-08-03;;
TOI-1064	Gaia DR2 6683371847364921088	1	<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>	2.7	0.7	-0.7	0.0	2022-01-31	2022-01-31;;
TOI-1064	Gaia DR2 6683371847364921088	1	<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>	2.7	0.7	-0.7	0.0	2022-01-31	2022-01-31;;
TOI-1075	Gaia DR2 6426188308031756288	1	<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>					2022-11-07	2022-11-07;;
TOI-1107	Gaia DR2 5192364501633274880	1	<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>	12.31	0.79	-0.79	0.0	2022-06-08	2022-06-08;;
TOI-1130	Gaia DR2 6715688452614516736	1	<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>	4.0	0.5	-0.5	0.0	2020-03-26	2020-04-02;;
TOI-1130	Gaia DR2 6715688452614516736	1	<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>	4.0	0.5	-0.5	0.0	2020-03-26	2020-04-02;;
TOI-1181	Gaia DR2 2241587416546520320	1	<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>	10.2	1.5	-1.5	0.0	2022-05-23	2022-05-23;
TOI-1201	Gaia DR2 5157183324996790272	1	<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>	2.0			1.0	2021-09-27	2021-09-27;;
TOI-122	Gaia DR2 6411096106487783296	1	<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>	7.2			1.0	2020-12-10	2020-12-17;;
TOI-1227	Gaia DR2 5842480953772012928	1	<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>	16.65	0.24	-0.24	0.0	2022-03-28	2022-03-28;;
TOI-1231	Gaia DR2 5357465071715078016	1	<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>					2021-11-09	2021-11-09;;
TOI-1235	Gaia DR2 1070387905514406400	1	<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>	2.0			1.0	2021-05-17	2021-05-17;;
TOI-1246	Gaia DR2 1650110904522335744	1	<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>	1.0	1.0	-1.0	0.0	2022-05-03	2022-05-03;;
TOI-1246	Gaia DR2 1650110904522335744	1	<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>	1.0	1.0	-1.0	0.0	2022-05-03	2022-05-03;;
TOI-1246	Gaia DR2 1650110904522335744	1	<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>	1.0	1.0	-1.0	0.0	2022-05-03	2022-05-03;;
TOI-1246	Gaia DR2 1650110904522335744	1	<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>	1.0	1.0	-1.0	0.0	2022-05-03	2022-05-03;;
TOI-125	Gaia DR2 4698692744355471616	1	<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>	1.0	0.5	-0.5	1.0	2020-02-06	2020-02-13;;
TOI-125	Gaia DR2 4698692744355471616	1	<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>	1.0	0.5	-0.5	1.0	2020-02-06	2020-02-13;;
TOI-125	Gaia DR2 4698692744355471616	1	<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>	1.0	0.5	-0.5	1.0	2020-02-06	2020-02-13;;
TOI-1259 A	Gaia DR2 2294170838587572736	1	<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>					2021-07-12	2021-07-12;;
TOI-1260	Gaia DR2 1053809778428567680	1	<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>	1.5	0.7	-0.7	0.0	2022-12-17	2022-12-17;;
TOI-1260	Gaia DR2 1053809778428567680	1	<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>	1.5	0.7	-0.7	0.0	2022-12-17	2022-12-17;;
TOI-1260	Gaia DR2 1053809778428567680	1	<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>	1.5	0.7	-0.7	0.0	2022-12-17	2022-12-17;;
TOI-1266	Gaia DR2 1678074272650459008	1	<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>					2020-10-01	2020-10-08;;
TOI-1266	Gaia DR2 1678074272650459008	1	<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>					2020-10-01	2020-10-08;;
TOI-1268	Gaia DR2 1675923005135391488	1	<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>	4.12	1.0	-1.0	0.0	2022-03-28	2022-03-28;
TOI-1272	Gaia DR2 1556242405699527424	1	<a refstr=MACDOUGALL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220614327M/abstract target=ref>MacDougall et al. 2022</a>					2022-07-12	2022-07-12;;
TOI-1272	Gaia DR2 1556242405699527424	1	<a refstr=MACDOUGALL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220614327M/abstract target=ref>MacDougall et al. 2022</a>					2022-07-12	2022-07-12;;
TOI-1278	Gaia DR2 1867491607542113536	1	<a refstr=ARTIGAU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..144A/abstract target=ref>Artigau et al. 2021</a>	1.1	0.86	-0.86	0.0	2021-08-03	2021-08-03;;
TOI-1296	Gaia DR2 1650851223740149504	1	<a refstr=MOUTOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.147M/abstract target=ref>Moutou et al. 2021</a>	4.0	0.05	-0.05	0.0	2021-10-19	2021-10-19;;
TOI-1298	Gaia DR2 1647136729864424576	1	<a refstr=MOUTOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.147M/abstract target=ref>Moutou et al. 2021</a>	4.6	0.05	-0.05	0.0	2021-10-19	2021-10-19;;
TOI-132	Gaia DR2 6520880040423258240	1	<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..973D/abstract target=ref>D&iacute;az et al. 2020</a>	3.0	0.3	-0.3	0.0	2020-02-21	2020-02-27;
TOI-1333	Gaia DR2 1978027916667478656	1	<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>	14.2	0.5	-0.5	0.0	2021-02-25	2021-03-04;;
TOI-1338	Gaia DR2 5494443978353833088	1	<a refstr=KOSTOV_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..253K/abstract target=ref>Kostov et al. 2020</a>	3.6	0.6	-0.6	0.0	2020-05-29	2020-06-04;;
TOI-1411	Gaia DR2 1401760747118886016	1	<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>					2022-02-15	2022-02-15;;
TOI-1422	Gaia DR2 1920333449169516288	1	<a refstr=NAPONIELLO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703293N/abstract target=ref>Naponiello et al. 2022</a>	1.7	0.4	-0.4	0.0	2022-07-18	2022-07-18;;
TOI-1431	Gaia DR2 2188906825165621120	1	<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>	6.0	0.2	-0.2	0.0	2021-10-11	2021-10-11;;
TOI-1442	Gaia DR2 2265154211335825152	1	<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>					2022-02-15	2022-02-15;;
TOI-1444	Gaia DR2 2274696151198328960	1	<a refstr=DAI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...62D/abstract target=ref>Dai et al. 2021</a>	2.0			1.0	2021-05-28	2021-05-28;;
TOI-1444	Gaia DR2 2274696151198328960	1	<a refstr=DAI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...62D/abstract target=ref>Dai et al. 2021</a>	2.0			1.0	2021-05-28	2021-05-28;;
TOI-1452	Gaia DR2 2264839957167921024	1	<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>					2022-08-30	2022-08-30;;
TOI-1468	Gaia DR2 2785466581298775680	1	<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>	2.0			1.0	2022-11-07	2022-11-07;;
TOI-1468	Gaia DR2 2785466581298775680	1	<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>	2.0			1.0	2022-11-07	2022-11-07;;
TOI-1478	Gaia DR2 5723638723350902400	1	<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>	4.3	0.5	-0.5	0.0	2021-02-25	2021-03-04;;
TOI-150	Gaia DR2 5262709709389254528	1	<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>	7.96	0.279	-0.279	0.0	2019-11-01	2019-11-07;;
TOI-1516	Gaia DR2 2226107083103120640	1	<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>	11.8	1.5	-1.5	0.0	2022-05-23	2022-05-23;
TOI-1518	Gaia DR2 2210596444367488384	1	<a refstr=CABOT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..218C/abstract target=ref>Cabot et al. 2021</a>	85.1	6.3	-6.3	0.0	2021-09-09	2021-09-09;;
TOI-157	Gaia DR2 4624979393181971328	1	<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>	2.5			1.0	2020-07-17	2020-07-23;;
TOI-1601	Gaia DR2 338382713564401920	1	<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>	6.4	0.5	-0.5	0.0	2021-02-25	2021-03-04;;
TOI-163	Gaia DR2 4651366259202463104	1	<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>	14.08	0.266	-0.266	0.0	2019-11-01	2019-11-07;;
TOI-1634	Gaia DR2 223158499179138432	1	<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...79C/abstract target=ref>Cloutier et al. 2021</a>	1.3			1.0	2021-07-12	2021-07-12;;
TOI-1669	Gaia DR2 569673024645542528	1	<a refstr=VAN_ZANDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...60V/abstract target=ref>Van Zandt et al. 2023</a>	0.6	1.0	-1.0	0.0	2023-02-07	2023-02-07;;
TOI-1670	Gaia DR2 1651911084230149248	1	<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>	9.2	0.6	-0.6	0.0	2022-03-16	2022-03-16;;
TOI-1670	Gaia DR2 1651911084230149248	1	<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>	9.2	0.6	-0.6	0.0	2022-03-16	2022-03-16;;
TOI-1685	Gaia DR2 252366608956186240	1	<a refstr=BLUHM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...650A..78B/abstract target=ref>Bluhm et al. 2021</a>	2.0			1.0	2021-07-12	2021-07-12;;
TOI-169	Gaia DR2 4684513614202233728	1	<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>	2.5			1.0	2020-07-17	2020-07-23;;
