hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
HD 202696	Gaia DR2 1847742385838236416	1	<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>	2.0	0.8	-0.8	0.0	2019-01-14	2019-01-17;;
HD 202696	Gaia DR2 1847742385838236416	1	<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>	2.0	0.8	-0.8	0.0	2019-01-14	2019-01-17;;
HD 202772 A	Gaia DR2 6790773586275235200	1	<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...51W/abstract target=ref>Wang et al. 2019</a>					2019-01-28	2019-01-31;;
HD 203473	Gaia DR2 1738397638078725248	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 2039	Gaia DR2 4919009555730599936	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 204313	Gaia DR2 6828450688663428224	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 204313	Gaia DR2 6828450688663428224	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
HD 204313	Gaia DR2 6828450688663428224	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 204941	Gaia DR2 6830027182179257472	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 205739	Gaia DR2 6592695123423391616	1	<a refstr=LOPEZ_MORALES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008AJ....136.1901L/abstract target=ref> Lopez-Morales et al. 2008 </a>	4.48	0.5	-0.5	0.0	2014-09-25	2014-09-25;;
HD 206255	Gaia DR2 6561908626047094144	1	<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>					2019-05-20	2019-05-23;;
HD 206610	Gaia DR2 2667434008056899712	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 20781	Gaia DR2 5060105892897388288	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.1			0.0	2019-02-05	2019-02-07;;
HD 20781	Gaia DR2 5060105892897388288	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.1			0.0	2019-02-05	2019-02-07;;
HD 20781	Gaia DR2 5060105892897388288	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.1			0.0	2019-02-05	2019-02-07;;
HD 20781	Gaia DR2 5060105892897388288	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.1			0.0	2019-02-05	2019-02-07;;
HD 20782	Gaia DR2 5060104351007433472	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2019-02-05	2019-02-07;;
HD 207832	Gaia DR2 6812056381881853056	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 207832	Gaia DR2 6812056381881853056	1	<a refstr=HAGHIGHIPOUR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...91H/abstract target=ref> Haghighipour et al. 2012 </a>	3.0			0.0	2015-09-08	2015-09-10;;
HD 207897	Gaia DR2 2300641567596591488	1	<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>	2.0			1.0	2021-11-18	2021-11-18;;
HD 20794	Gaia DR2 4847957293277762560	1	<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>	3.0			1.0	2015-08-26	2015-08-27;;
HD 20794	Gaia DR2 4847957293277762560	1	<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>	3.0			1.0	2015-08-26	2015-08-27;;
HD 20794	Gaia DR2 4847957293277762560	1	<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>	3.0			1.0	2015-08-26	2015-08-27;;
HD 20794	Gaia DR2 4847957293277762560	1	<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605A.103F/abstract target=ref>Feng et al. 2017</a>					2017-06-06	2017-06-08;;
HD 208487	Gaia DR2 6586580842340695040	1	<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>	4.61			0.0	2014-11-05	2014-11-05;;
HD 208527	Gaia DR2 1781063082986968960	1	<a refstr=LEE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A...2L/abstract target=ref> Lee et al. 2013 </a>	3.6			0.0	2014-05-14	2014-05-14;;
HD 20868	Gaia DR2 5053536074700031616	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 208897	Gaia DR2 1779772947826839808	1	<a refstr=Y__X131_LMAZ_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..14Y/abstract target=ref>Y&#x131;lmaz et al. 2017</a>	3.9	0.42	-0.42	0.0	2017-09-27	2017-09-28;
HD 209458	Gaia DR2 1779546757669063552	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-12-03	2018-12-06;;
HD 210193	Gaia DR2 6570039342736534784	1	<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>					2019-05-20	2019-05-23;;
HD 210277	Gaia DR2 2619706544757416192	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 210702	Gaia DR2 1775004778213735168	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 211403	Gaia DR2 2198848918548722304	1	<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>	18.4	0.3	-0.3	0.0	2021-10-19	2021-10-19;;
HD 211810	Gaia DR2 2201556328489610752	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 211970	Gaia DR2 6508401923473282432	1	<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>					2019-05-20	2019-05-23;;
HD 212301	Gaia DR2 6356860393345181824	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 212771	Gaia DR2 2595360569884153728	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
